object	parent_dir	type_obj	size
ps5_trackpad_r_ring_lg.png	\images\api\dark	file	4270
ps5_trackpad_r_ring_md.png	\images\api\dark	file	2184
ps5_trackpad_r_ring_sm.png	\images\api\dark	file	620
ps5_trackpad_r_swipe.svg	\images\api\dark	file	1934
ps5_trackpad_r_swipe_lg.png	\images\api\dark	file	5253
ps5_trackpad_r_swipe_md.png	\images\api\dark	file	2984
ps5_trackpad_r_swipe_sm.png	\images\api\dark	file	760
ps5_trackpad_r_touch.svg	\images\api\dark	file	1555
ps5_trackpad_r_touch_lg.png	\images\api\dark	file	5454
ps5_trackpad_r_touch_md.png	\images\api\dark	file	2746
ps5_trackpad_r_touch_sm.png	\images\api\dark	file	769
ps5_trackpad_r_up.svg	\images\api\dark	file	721
ps5_trackpad_r_up_lg.png	\images\api\dark	file	3069
ps5_trackpad_r_up_md.png	\images\api\dark	file	1618
ps5_trackpad_r_up_sm.png	\images\api\dark	file	509
ps5_trackpad_sm.png	\images\api\dark	file	382
ps5_trackpad_swipe.svg	\images\api\dark	file	913
ps5_trackpad_swipe_lg.png	\images\api\dark	file	5167
ps5_trackpad_swipe_md.png	\images\api\dark	file	2739
ps5_trackpad_swipe_sm.png	\images\api\dark	file	692
ps5_trackpad_up.svg	\images\api\dark	file	819
ps5_trackpad_up_lg.png	\images\api\dark	file	3493
ps5_trackpad_up_md.png	\images\api\dark	file	1797
ps5_trackpad_up_sm.png	\images\api\dark	file	544
ps_button_circle.svg	\images\api\dark	file	538
ps_button_circle_lg.png	\images\api\dark	file	8420
ps_button_circle_md.png	\images\api\dark	file	4252
ps_button_circle_sm.png	\images\api\dark	file	1161
ps_button_mute.svg	\images\api\dark	file	817
ps_button_mute_lg.png	\images\api\dark	file	4904
ps_button_mute_md.png	\images\api\dark	file	2741
ps_button_mute_sm.png	\images\api\dark	file	1016
ps_button_square.svg	\images\api\dark	file	348
ps_button_square_lg.png	\images\api\dark	file	4530
ps_button_square_md.png	\images\api\dark	file	2394
ps_button_square_sm.png	\images\api\dark	file	666
ps_button_triangle.svg	\images\api\dark	file	398
ps_button_triangle_lg.png	\images\api\dark	file	5803
ps_button_triangle_md.png	\images\api\dark	file	3157
ps_button_triangle_sm.png	\images\api\dark	file	966
ps_button_x.svg	\images\api\dark	file	543
ps_button_x_lg.png	\images\api\dark	file	5592
ps_button_x_md.png	\images\api\dark	file	3025
ps_button_x_sm.png	\images\api\dark	file	858
ps_color_button_circle.svg	\images\api\dark	file	538
ps_color_button_circle_lg.png	\images\api\dark	file	7418
ps_color_button_circle_md.png	\images\api\dark	file	3866
ps_color_button_circle_sm.png	\images\api\dark	file	1052
ps_color_button_square.svg	\images\api\dark	file	348
ps_color_button_square_lg.png	\images\api\dark	file	4270
ps_color_button_square_md.png	\images\api\dark	file	2280
ps_color_button_square_sm.png	\images\api\dark	file	679
ps_color_button_triangle.svg	\images\api\dark	file	398
ps_color_button_triangle_lg.png	\images\api\dark	file	5224
ps_color_button_triangle_md.png	\images\api\dark	file	2829
ps_color_button_triangle_sm.png	\images\api\dark	file	866
ps_color_button_x.svg	\images\api\dark	file	543
ps_color_button_x_lg.png	\images\api\dark	file	5173
ps_color_button_x_md.png	\images\api\dark	file	2780
ps_color_button_x_sm.png	\images\api\dark	file	807
ps_color_outlined_button_circle.svg	\images\api\dark	file	831
ps_color_outlined_button_circle_lg.png	\images\api\dark	file	9726
ps_color_outlined_button_circle_md.png	\images\api\dark	file	4968
ps_color_outlined_button_circle_sm.png	\images\api\dark	file	1375
ps_color_outlined_button_square.svg	\images\api\dark	file	932
